5467
6969	3959	5
7606	396	14
5522	397	12
5644	398	14
3329	399	11
2667	3d	9
4544	3day	22
4567	3h	18
6188	3min	16
2401	3rd	19
7590	3year	7
5343	3years	5
1281	40	436
2876	400	50
2028	4000	13
3499	401	17
5324	402	12
7016	404	7
7220	4045	5
4124	405	12
5657	406	12
2082	4060	6
3138	407	6
4822	408	8
7602	409	9
2877	40degreesc	9
7117	40h	5
3728	40min	21
2550	41	118
5111	410	14
4977	411	8
6093	412	7
3686	415	12
4978	416	7
4125	417	12
5149	418	6
3139	419	13
1509	42	121
6395	420	10
7609	421	7
4663	422	10
4806	423	11
3120	424	8
5059	425	12
2275	427	12
6657	428	7
7132	429	8
4345	42a	6
1011	43	106
3852	430	12
5998	431	9
7840	432	7
7480	433	5
6804	434	5
1282	435	11
6687	436	11
3110	437	6
7505	438	6
6688	439	5
2449	44	101
4265	441	6
6915	442	7
4842	446	5
7478	448	5
6610	449	9
1283	45	275
710	450	11
6501	452	6
5540	453	7
6345	454	11
6013	456	9
5914	4564	7
5528	457	6
3551	458	9
6098	459	6
2526	45min	22
1313	46	105
4242	460	7
6346	461	6
4445	462	6
3824	463	7
7734	464	7
5894	465	13
4949	466	6
3552	468	9
5611	469	7
950	47	100
5849	471	5
5431	473	6
4346	474	5
5544	475	9
5534	476	7
5048	477	9
5793	478	9
7640	479	5
1065	48	147
5284	480	5
7075	485	7
4347	486	6
5181	487	10
3853	48h	18
2402	49	83
3936	494	6
5850	495	6
7717	496	8
7700	498	7
7439	4day	6
7051	4h	22
3022	4km	6
3215	4min	9
5440	4th	13
6711	5	7
1214	50	440
1727	500	52
6967	5000	11
436	501	6
3387	504	7
3720	505	9
1314	506	7
6479	5060	7
1066	508	5
4212	509	10
6516	50min	7
6517	50rh	5
7147	50th	23
1575	51	77
275	510	13
5573	511	10
6993	512	5
6288	513	7
7756	514	8
6566	515	5
6155	516	10
6002	517	8
3061	52	96
7548	520	6
6929	521	5
5498	523	7
6658	524	5
6207	525	10
5564	527	6
7339	528	5
1935	53	73
7735	530	6
6072	531	8
7570	533	6
6794	536	5
1284	537	5
5492	539	9
3825	54	70
3553	542	6
6099	544	7
2127	549	5
1315	55	134
5330	550	11
7848	553	5
2294	554	6
2606	555	6
7530	556	5
6100	557	5
4266	559	5
437	56	89
7671	561	5
2761	562	8
4807	565	7
6836	566	6
7838	569	6
2527	57	59
6555	571	5
7352	573	5
3904	575	6
6003	579	5
1012	58	69
4843	582	5
4598	584	6
3500	585	5
3826	586	5
3827	589	8
2450	59	65
3111	591	9
7465	595	5
7750	5a	5
3514	5day	13
7270	5h	6
7633	5km	7
5321	5min	45
5820	5minute	11
3468	5th	39
5964	5year	8
344	60	520
1841	600	24
4224	603	5
5541	605	7
4397	60min	44
7571	60minute	5
7589	60th	5
2197	61	68
6981	611	6
7672	613	5
6094	614	13
2929	616	8
3023	617	8
3210	618	6
4186	619	8
1285	62	72
7655	620	5
1316	621	6
6289	623	7
6014	624	7
6689	626	7
4705	629	7
2198	63	67
1317	630	8
6742	631	12
6073	632	5
7291	633	5
6290	634	5
7078	635	8
663	636	5
1067	64	100
6150	648	8
664	65	319
6845	650	12
6142	6500	9
4928	651	5
6752	653	6
7082	654	6
6944	6574	16
7742	659	6
3196	66	48
7678	660	5
7167	661	5
3828	665	5
3829	667	5
3253	67	63
6797	670	5
6877	674	5
6973	675	5
2725	68	60
4176	682	6
6837	686	6
7732	689	5
1728	69	66
3645	6day	10
3515	6h	12
4599	6min	10
7335	6month	5
7036	6sulfatoxymelatonin	5
6074	6th	8
2083	70	221
1318	700	17
1013	702	5
2150	705	5
6177	708	7
4832	71	60
4754	710	11
4213	713	8
6525	714	5
5601	717	8
2930	72	77
5815	722	5
7863	723	5
4767	7243	6
7159	729	5
7015	72h	5
793	73	50
7752	731	5
7519	733	6
5612	735	7
7754	738	5
4398	74	63
1215	740	5
6101	745	12
6004	749	5
824	75	206
2607	750	9
4929	754	5
2589	757	5
5198	758	6
3879	7584	5
7577	759	5
7487	75min	6
2380	75th	36
2199	76	59
3975	77	52
2551	7730	7
7829	774	5
6366	777	7
1319	78	56
7125	782	5
1014	79	57
5589	7933	11
7294	795	5
2505	798	6
1444	7day	24
5945	7point	6
1747	80	165
3197	800	22
6670	801	6
7714	802	5
7663	804	6
7099	807	5
1936	81	55
6021	810	6
6041	811	5
5241	812	5
7007	813	7
4075	814	6
6042	815	7
4600	819	5
1216	82	51
1015	820	5
6795	827	5
1320	828	5
2212	83	51
7458	834	6
4833	84	57
2128	85	131
1713	86	53
4867	87	50
7686	878	5
2352	88	38
7592	882	5
2451	89	44
2403	8day	7
6988	8degreesc	6
4063	8h	14
4316	8th	6
345	90	221
2404	900	8
6606	901	6
6716	904	5
4126	906	5
414	90min	22
7006	90minute	5
665	90th	64
3184	91	41
6396	910	6
4786	911	6
573	912	8
7331	913	6
6502	916	6
2006	92	41
7854	925th	9
2200	93	48
1016	931	6
5013	94	39
7259	940	5
7613	952	5
7122	953	6
6310	956	5
5989	95ci	77
6781	95cl	5
3388	95th	74
3415	96	45
7741	968	6
3434	97	23
5990	975th	19
6848	97th	14
3435	98	38
666	98th	10
1510	99	37
5322	990	5
6005	999	5
2276	99th	86
5260	9day	5
4235	9h	7
6050	a00r99	5
3880	a1	6
3881	a2	7
7597	aa	5
3402	abate	7
6540	abdomen	16
5558	abdominal	17
852	ability	203
4243	ablation	5
1748	able	96
6151	ablebodied	9
4844	abnormal	29
3587	abnormality	22
5300	abnormally	5
4674	abolish	19
1576	aboriginal	5
6255	abovementioned	8
3516	abrupt	12
3761	absence	69
853	absent	16
71	absolute	121
6830	absorb	6
4935	absorbent	10
4024	absorption	11
5005	abundance	5
4715	abundant	5
1068	ac	28
2552	academic	24
2608	academy	10
7679	acc	5
4127	accelerate	50
3517	accelerated	6
4128	acceleration	19
5809	accelerometer	19
5372	accelerometry	11
3079	accentuate	10
5164	accept	32
5788	acceptability	63
1714	acceptable	105
4779	acceptance	16
4515	accepted	7
2697	access	110
6586	accessibility	11
4371	accessible	18
4555	accident	33
6938	accidental	11
3646	acclimate	30
5590	acclimated	8
3151	acclimation	139
2573	acclimatisation	11
1540	acclimatization	79
3316	acclimatize	18
1715	acclimatized	11
6526	accommodate	10
6825	accommodation	6
1138	accompany	77
2353	accomplish	13
1826	accord	274
2354	accordance	23
3266	accordingly	51
1577	account	287
4658	accounting	32
854	accumulate	29
5585	accumulated	7
855	accumulation	48
346	accuracy	170
72	accurate	95
1321	accurately	63
7398	acetylcholine	5
7708	acgih	5
6994	ach	8
515	achieve	224
3098	achievement	8
2168	acid	66
4568	acidbinding	7
5441	acidosis	6
4261	acknowledge	15
3985	acoustic	35
5336	acquire	35
1167	acquisition	11
4187	acrophase	38
3687	acrophases	25
951	across	543
6459	acs	6
856	act	65
5760	actigraph	15
6592	actigraphic	9
5761	actigraphs	5
3854	actigraphy	37
857	action	142
3165	activate	40
6990	activated	5
825	activation	86
1017	active	264
5470	actively	11
73	activity	743
1861	actual	128
4372	actually	14
1898	acute	376
4887	acutely	16
1322	ad	55
1597	adapt	108
4667	adaptability	26
221	adaptation	441
5932	adapted	7
4481	adaption	18
74	adaptive	153
