Unnamed: 0,absence of mental illness,absence of physical illness,cognitive health,emotional health,physical activity health,sensory health,sleep health,subclinical health,Years since publication,contribution index
doc10213,0,0,0,0,1,0,0,0,7,0.106838004
doc1346,0,0,0,0,0,0.92732706,0.07267294,0,20,0.106902819
doc7432,0,0,0,0,0.423469387,0.576530613,0,0,4,0.10706237
doc7053,0,0,0.915603859,0,0.084396141,0,0,0,2,0.107575028
doc6101,0,1,0,0,0,0,0,0,11,0.107707146
doc2240,0,1,0,0,0,0,0,0,6,0.108200644
doc1926,0,0.048423212,0.725789519,0,0,0.225787269,0,0,5,0.10832774
doc10015,0,1,0,0,0,0,0,0,21,0.10900932
doc7554,0,0,0,0,0,0,1,0,26,0.109118924
doc2455,0,0.096407103,0,0,0,0.903592897,0,0,7,0.109159764
doc12303,0,0.928241114,0,0,0,0.071758886,0,0,2,0.109189815
doc6936,0,0,0,0,1,0,0,0,2,0.109189815
doc5887,0,1,0,0,0,0,0,0,34,0.109306735
doc6128,0,0.100204666,0,0,0.054968628,0,0.844826706,0,9,0.109673858
doc4278,0,0,0,0,1,0,0,0,4,0.109814488
doc10104,0,1,0,0,0,0,0,0,12,0.109862548
doc3787,0,0,0,0,0,1,0,0,28,0.110502548
doc5165,0,0,0,0,0.047846892,0.952153108,0,0,20,0.110545674
doc5949,0,1,0,0,0,0,0,0,7,0.110961442
doc3122,0,1,0,0,0,0,0,0,3,0.111457001
doc1008,0,1,0,0,0,0,0,0,25,0.111509021
doc10317,0,1,0,0,0,0,0,0,2,0.111829002
doc2808,0,1,0,0,0,0,0,0,2,0.111829002
doc10497,0,1,0,0,0,0,0,0,30,0.111976594
doc2050,0,1,0,0,0,0,0,0,17,0.11202631
doc4629,0,0,0,0,0,1,0,0,19,0.112331832
doc6077,0,1,0,0,0,0,0,0,14,0.112332771
doc339,0,0,0,0,0.45479452,0.54520548,0,0,19,0.112455989
doc8842,0,1,0,0,0,0,0,0,7,0.1126081
doc3803,0,1,0,0,0,0,0,0,13,0.112666885
doc10874,0,0,0.484848483,0,0,0,0.515151517,0,27,0.112667423
doc8330,0,1,0,0,0,0,0,0,5,0.112792527
doc3168,0,1,0,0,0,0,0,0,10,0.112872587
doc5825,0,0,0,0,0,1,0,0,29,0.112951297
doc10259,0,1,0,0,0,0,0,0,24,0.113329839
doc1092,0,1,0,0,0,0,0,0,4,0.113479462
doc2911,0,0,0,0,1,0,0,0,5,0.113549945
doc5548,0,0,0,0,0,0,1,0,8,0.113552484
doc338,0,1,0,0,0,0,0,0,13,0.113617663
doc7415,0,1,0,0,0,0,0,0,15,0.11383756
doc4874,0,0.178050158,0,0,0,0.821949842,0,0,25,0.114293165
doc11811,0,1,0,0,0,0,0,0,22,0.114713231
doc2518,0,0,0,1,0,0,0,0,22,0.11489761
doc5688,0,0,0,0,0,1,0,0,31,0.115287528
doc5826,0,0,0,0,0,0,0,1,26,0.116142434
doc8092,0,0.875345272,0,0,0,0.124654728,0,0,6,0.116268729
doc10588,0,0,0,0,1,0,0,0,7,0.117003773
doc11457,0,0,0,0,1,0,0,0,4,0.117491612
doc11724,0,0.415644518,0,0,0,0.584355482,0,0,8,0.11800369
doc9688,0,1,0,0,0,0,0,0,12,0.118039628
doc7423,0,0,0,0,0.644778633,0,0,0.355221367,19,0.11820204
doc4338,0,0,0,0,1,0,0,0,3,0.118415693
doc5335,0,1,0,0,0,0,0,0,18,0.118432165
doc4850,0,0,0,1,0,0,0,0,21,0.118560015
doc1544,0,0,0,0,0,0,0,1,6,0.119016795
doc11302,0,1,0,0,0,0,0,0,29,0.119314754
doc2700,0,1,0,0,0,0,0,0,6,0.119562463
doc9754,0,0.078828551,0,0,0.018151166,0.903020282,0,0,18,0.119897978
doc5108,0,0,0,0,1,0,0,0,21,0.120103328
doc11305,0,1,0,0,0,0,0,0,2,0.120119831
doc5394,0,0,0,0,0.495765484,0,0,0.504234516,19,0.120240816
doc7793,0,0,0.484848483,0,0,0,0.515151517,0,27,0.120443683
doc5130,0,1,0,0,0,0,0,0,18,0.120647612
doc8378,0,1,0,0,0,0,0,0,15,0.12081531
doc10092,0,1,0,0,0,0,0,0,5,0.120862714
doc6818,0,1,0,0,0,0,0,0,5,0.121018373
doc493,0,0.267374063,0,0,0,0,0,0.732625937,9,0.121070764
doc7786,0,0,0,0,1,0,0,0,6,0.121123119
doc4432,0,0,1,0,0,0,0,0,15,0.121380659
doc8784,0,1,0,0,0,0,0,0,5,0.121480427
doc7142,0,1,0,0,0,0,0,0,23,0.12190934
doc10855,0,1,0,0,0,0,0,0,3,0.121999922
doc10530,0,0,1,0,0,0,0,0,15,0.122056956
doc8789,0,0,0,1,0,0,0,0,17,0.122266248
doc5590,0,0,0,0,0.890080429,0.109919571,0,0,3,0.122367451
doc7780,0,0,0,0,0,1,0,0,11,0.122385992
