Unnamed: 0,absence of mental illness,absence of physical illness,cognitive health,emotional health,physical activity health,sensory health,sleep health,subclinical health,Years since publication,contribution index
doc7780,0,0,0,0,0,0.385658915,0,0,11,0.122385992
doc201,0,0,0,0,0,0.014534883,0,0,3,0.122438178
doc11619,0,0,0,0,0,0,0.009198422,0,4,0.122471137
doc5135,0,0,0,0,0.011627906,0,0,0,9,0.122542467
doc4426,0,0.189526186,0,0,0,0,0,0.094612352,15,0.122596264
doc5159,0,0,0.168199736,0,0,0,0,0,10,0.122814
doc10770,0,0.012468829,0,0,0,0,0,0,15,0.122926404
doc7951,0,0,0,0,0,0.020348839,0.208935611,0,10,0.123472136
doc5563,0,0.100997504,0,0,0,0,0,0,5,0.123623678
doc775,0,0.038653367,0,0,0,0,0,0,17,0.123740515
doc7785,0,0.077306734,0,0,0.321705426,0,0,0,15,0.123764751
doc11808,0,0.083541145,0,0,0,0,0,0,12,0.123878391
doc5234,0,0.021197008,0,0,0,0.385658915,0,0,12,0.124194779
doc3712,0,0.022443889,0,0,0,0,0,0,6,0.124329676
doc11531,0,0.024937657,0,0,0,0,0,0,9,0.124384289
doc13042,0,0.028678306,0,0,0,0,0,0,11,0.124410001
doc5861,0,0.017456359,0,0,0,0,0,0.034165571,10,0.124456772
doc10735,0,0.083541145,0,0,0,0,0,0,10,0.124702387
doc3764,0,0.033665837,0.168199736,0,0.014211885,0,0,0,7,0.124981792
doc8989,0,0.238154613,0,0,0,0,0,0,12,0.125267233
doc8070,0,0.036159599,0,0,0,0,0,0,8,0.125928442
doc8639,0,0.056109726,0,0,0,0,0,0,2,0.126024265
doc714,0,0,0,0.026281209,0.010335918,0,0,0,8,0.126055367
doc7470,0,0.007481298,0,0,0,0,0,0,5,0.126177414
doc3271,0,0.105985035,0,0,0.321705426,0,0,0,10,0.12626917
doc11987,0,0.083541145,0,0,0,0,0,0,5,0.126527024
doc12860,0,0.168329178,0,0,0,0,0,0,2,0.126568025
doc2548,0,0.056109726,0,0,0,0,0,0,7,0.126680906
doc742,0,0,0,0,0.321705426,0,0,0,2,0.126775631
doc9055,0,0,0,0,0,0,0.14586071,0,15,0.127018785
doc2869,0,0.452618456,0,0,0,0,0,0,2,0.127221278
doc10684,0,0.083541145,0,0,0,0,0,0,2,0.12728829
doc9527,0,0.612219455,0,0,0,0,0,0,2,0.12728829
doc7296,0,0,0.168199736,0,0,0,0,0,3,0.127493523
doc11424,0,0.009975061,0,0,0.019379846,0,0,0,22,0.127571338
doc2789,0,0,0.168199736,0,0,0,0,0,20,0.127645689
doc417,0,0,0,0,0.011627906,0,0,0,14,0.127844815
doc9164,0,0.083541145,0,0,0,0,0,0,7,0.127886489
doc8934,0,0.01870324,0,0,0,0,0,0,15,0.127975099
doc10404,0,0,0,0,0,0.006782947,0,0,10,0.128021903
doc5042,0,0.078553615,0,0,0,0,0,0,9,0.12830233
doc3752,0,0,0.128777923,0,0.126614989,0,0,0,4,0.128800095
doc7196,0,0.238154613,0,0,0,0,0,0,10,0.129211607
doc7114,0,0.238154613,0,0,0,0,0,0,5,0.129379945
